id_estudiante,carrera,semestre,nota_actual,porcentaje_asistencia,probabilidad_riesgo_ml,nivel_riesgo,semaforo,accion_recomendada,plan_acompanamiento
STD_00001,Carrera General,Nivel General,8.1,85.0,27.96,BAJO,VERDE (ÓPTIMO),Seguimiento Regular de Aula,1. Continuar con el ritmo académico habitual. 2. Oportunidad de participación como mentor/ayudante.
STD_00001,Carrera General,Nivel General,7.4,85.0,20.35,BAJO,VERDE (ÓPTIMO),Seguimiento Regular de Aula,1. Continuar con el ritmo académico habitual. 2. Oportunidad de participación como mentor/ayudante.
STD_00001,Carrera General,Nivel General,5.9,85.0,69.88,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00001,Carrera General,Nivel General,9.6,85.0,21.21,BAJO,VERDE (ÓPTIMO),Seguimiento Regular de Aula,1. Continuar con el ritmo académico habitual. 2. Oportunidad de participación como mentor/ayudante.
STD_00001,Carrera General,Nivel General,9.5,85.0,41.02,MEDIO,AMARILLO (ADVERTENCIA),Acompañamiento Tutorial Preventivo y Talleres de Estudio,1. Entrevista de seguimiento bimensual. 2. Talleres grupales de resolución de ejercicios.
STD_00001,Carrera General,Nivel General,6.2,85.0,57.22,MEDIO,AMARILLO (ADVERTENCIA),Acompañamiento Tutorial Preventivo y Talleres de Estudio,1. Entrevista de seguimiento bimensual. 2. Talleres grupales de resolución de ejercicios.
STD_00001,Carrera General,Nivel General,9.7,85.0,25.22,BAJO,VERDE (ÓPTIMO),Seguimiento Regular de Aula,1. Continuar con el ritmo académico habitual. 2. Oportunidad de participación como mentor/ayudante.
STD_00001,Carrera General,Nivel General,5.9,85.0,80.26,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,5.1,85.0,95.1,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,6.8,85.0,97.35,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,6.9,85.0,96.87,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,7.1,85.0,18.76,BAJO,VERDE (ÓPTIMO),Seguimiento Regular de Aula,1. Continuar con el ritmo académico habitual. 2. Oportunidad de participación como mentor/ayudante.
STD_00002,Carrera General,Nivel General,5.7,85.0,93.59,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,5.0,85.0,90.08,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,6.2,85.0,71.58,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00002,Carrera General,Nivel General,5.2,85.0,92.88,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00003,Carrera General,Nivel General,5.3,85.0,86.75,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00003,Carrera General,Nivel General,5.5,85.0,86.6,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00003,Carrera General,Nivel General,4.4,85.0,90.88,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
STD_00003,Carrera General,Nivel General,5.0,85.0,87.46,ALTO,ROJO (CRÍTICO),Tutoría Académica Obligatoria y Derivación a Bienestar Estudiantil,1. Sesión tutorial individual semanal. 2. Plan de refuerzo en temas críticos. 3. Monitoreo continuo de asistencia.
